"id_registro","anio","provincia","pea","salario_promedio","id_registro (Right)","fecha","provincia (Right)","sector_economico","poblacion_economicamente_activa","personas_empleadas","personas_desempleadas","tasa_desempleo","salario_promedio (Right)","inflacion","pib_millones"
1,2025,"Pichincha",389301,1569.63,1,"2015-01-01","Azuay","Servicios",67874,65109,2765,4.08,368.46,1.16,83616.05
2,2026,"Azuay",115389,452.33,2,"2015-01-01","Bolivar","Servicios",74071,69797,4274,5.77,348.31,-0.13,82968.48
3,2026,"Loja",24978,784.91,3,"2015-01-01","Cañar","Comercio",79678,75150,4528,5.68,355.78,3.49,86006.62
4,2024,"Azuay",113123,465.95,4,"2015-01-01","Carchi","Comercio",95496,90880,4616,4.83,345.39,4.31,86294.04
5,2026,"Loja",108247,400.5,5,"2015-01-01","Chimborazo","Comercio",98013,93276,4737,4.83,343.09,0.84,86317.47
6,2024,"Azuay",115951,904.69,6,"2015-01-01","Cotopaxi","Comercio",100621,95513,5108,5.08,340.74,1.52,83822.6
7,2025,"Guayas",252310,1430.19,7,"2015-01-01","El Oro","Servicios",114419,109414,5005,4.37,350.73,4.59,82894
8,2024,"Loja",290896,1359.52,8,"2015-01-01","Esmeraldas","Construccion",118157,111385,6772,5.73,348.12,3.43,82729.12
9,2025,"Guayas",30861,1211.3,9,"2015-01-01","Galapagos","Construccion",120136,112248,7888,6.57,357.14,4.29,84400.63
10,2026,"Guayas",383235,665.21,10,"2015-01-01","Guayas","Agricultura",128091,121545,6546,5.11,376.47,0.81,83834.89
11,2026,"Loja",219570,1035.35,11,"2015-01-01","Imbabura","Construccion",142005,133620,8385,5.9,357.49,2.53,83724.05
12,2024,"Pichincha",453126,1944.98,12,"2015-01-01","Loja","Agricultura",147747,140864,6883,4.66,341.24,1.42,86341.57
13,2025,"Loja",338035,651.03,13,"2015-01-01","Los Rios","Construccion",150388,142563,7825,5.2,361.69,0.05,87065.68
14,2025,"Azuay",366945,1960.93,14,"2015-01-01","Manabi","Construccion",155300,146035,9265,5.97,357.35,1.8,87072.74
15,2025,"Loja",447786,728.51,15,"2015-01-01","Morona Santiago","Servicios",160701,153084,7617,4.74,362.38,2.68,83813.71
17,2025,"Pichincha",483643,477.53,17,"2015-01-01","Orellana","Comercio",173405,165674,7731,4.46,362.86,0.55,85902.41
18,2024,"Loja",477460,1864.24,18,"2015-01-01","Pastaza","Agricultura",184459,173784,10675,5.79,361.13,2.18,83757.07
19,2024,"Loja",487764,1653.14,19,"2015-01-01","Pichincha","Agricultura",186680,175395,11285,6.05,364.64,2.55,83834.13
20,2026,"Loja",288148,1425.5,20,"2015-01-01","Santa Elena","Construccion",196210,185803,10407,5.3,374.03,2.1,87269.08
21,2026,"Guayas",40055,860.03,21,"2015-01-01","Santo Domingo de los Tsachilas","Servicios",206200,193239,12961,6.29,364.01,2.39,83032.05
22,2024,"Azuay",291244,938.08,22,"2015-01-01","Sucumbios","Servicios",214574,204711,9863,4.6,377.14,1.68,83307.75
23,2025,"Azuay",320846,585.59,23,"2015-01-01","Tungurahua","Construccion",211203,198960,12243,5.8,353.52,2.29,83059.34
25,2026,"Pichincha",486284,764.13,25,"2015-02-01","Azuay","Servicios",67951,63240,4711,6.93,365.39,2.52,83128.8
