"area","ciudad","conglomerado","panelm","vivienda","hogar","c01","c02","c03","c04a","c05a","c05b","c06a","c06b","c07","c08a","c09","c10","c11","c12","c13","c14","c15a","c16a","c17a","c18","c19","c20a","c21a","estrato","fexp","upm","id_vivienda","id_hogar","periodo","zonas_plani","distritomies","idprov17","PROVINCIA","idcant17","CANTON","idparr17","PARROQUIA","AREA_VIE","TIPOBENEFICIO","edad","SEXO_BENEFICIARIO","etnia"
1,10150,203,22,1,1,3,3,1,1,4,1,4,1,1,1,3,3,3,3,3,3,2,2,2,2,3,2,2,2713,"87,6074730486587",10150000203,1015000020302201,10150000203022012,202109,"Zona PlanificaciÃ³n 6","UNIDAD DESCONCENTRADA ZONAL 6",1,"AZUAY",108,"SANTA ISABEL",10851,"ABDON CALDERON","RURAL","PENSION MIS MEJORES AÃOS",77,"HOMBRE","Mestizo(a)"
1,10150,203,22,2,1,3,2,2,2,4,1,4,1,1,1,1,3,3,3,3,3,2,2,2,3,2,3,3,2713,"87,6074730486587",10150000203,1015000020302202,10150000203022020,202109,"Zona PlanificaciÃ³n 6","UNIDAD DESCONCENTRADA ZONAL 6",1,"AZUAY",101,"CUENCA",10150,"CUENCA","URBANO","PENSION MIS MEJORES AÃOS",79,"HOMBRE","Mestizo(a)"
1,10150,203,22,3,1,2,1,2,2,4,1,4,1,1,1,3,3,3,3,3,3,2,2,2,2,1,2,2,2713,"87,6074730486587",10150000203,1015000020302203,10150000203022032,202109,"Zona PlanificaciÃ³n 6","UNIDAD DESCONCENTRADA ZONAL 6",1,"AZUAY",101,"CUENCA",10163,"SAN JOAQUIN","RURAL","PENSION MIS MEJORES AÃOS",87,"HOMBRE","Mestizo(a)"
1,10150,203,22,4,1,3,3,2,2,4,1,4,2,2,2,3,3,3,3,3,3,2,2,2,3,3,2,2,2713,"87,6074730486587",10150000203,1015000020302204,10150000203022040,202109,"Zona PlanificaciÃ³n: Guayaquil","UNIDAD DESCONCENTRADA DISTRITAL TIPO A GUAYAQUIL CENTRO SUR",9,"GUAYAS",901,"GUAYAQUIL",90150,"GUAYAQUIL","URBANO","PENSION MIS MEJORES AÃOS",79,"HOMBRE","Mestizo(a)"
1,10150,203,22,6,1,2,1,2,2,4,1,4,1,1,1,3,3,3,3,3,3,2,2,2,1,1,2,1,2713,"87,6074730486587",10150000203,1015000020302206,10150000203022060,202109,"Zona PlanificaciÃ³n 6","UNIDAD DESCONCENTRADA ZONAL 6",1,"AZUAY",101,"CUENCA",10167,"SININCAY","RURAL","PENSION MIS MEJORES AÃOS",89,"HOMBRE","Mestizo(a)"
1,10150,203,22,8,1,3,2,2,2,4,2,4,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2713,"87,6074730486587",10150000203,1015000020302208,10150000203022080,202109,"Zona PlanificaciÃ³n 6","UNIDAD DESCONCENTRADA ZONAL 6",1,"AZUAY",101,"CUENCA",10150,"CUENCA","URBANO","PENSION MIS MEJORES AÃOS",89,"HOMBRE","Mestizo(a)"
1,10150,203,22,10,1,2,2,2,2,4,2,4,2,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2713,"87,6074730486587",10150000203,1015000020302210,10150000203022100,202109,"Zona PlanificaciÃ³n 6","UNIDAD DESCONCENTRADA ZONAL 6",1,"AZUAY",101,"CUENCA",10168,"TARQUI","RURAL","PENSION MIS MEJORES AÃOS",83,"HOMBRE","Mestizo(a)"
1,10150,1201,22,1,1,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2712,"243,936727148086",10150001201,1015000120102201,10150001201022012,202109,"Zona PlanificaciÃ³n 6","UNIDAD DESCONCENTRADA ZONAL 6",1,"AZUAY",101,"CUENCA",10170,"VALLE","RURAL","PENSION MIS MEJORES AÃOS",81,"HOMBRE","Mestizo(a)"
1,10150,1201,22,2,1,2,2,1,2,3,2,3,2,2,2,3,3,3,3,3,3,2,2,2,3,2,3,2,2712,"243,936727148086",10150001201,1015000120102202,10150001201022020,202109,"Zona PlanificaciÃ³n 6","UNIDAD DESCONCENTRADA ZONAL 6",1,"AZUAY",101,"CUENCA",10150,"CUENCA","URBANO","PENSION MIS MEJORES AÃOS",81,"HOMBRE","Mestizo(a)"
1,10150,1201,22,3,1,3,2,2,2,3,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2712,"243,936727148086",10150001201,1015000120102203,10150001201022032,202109,"Zona PlanificaciÃ³n 7","UNIDAD DESCONCENTRADA DISTRITAL TIPO A MACHALA",7,"EL ORO",701,"MACHALA",70150,"MACHALA","URBANO","PENSION MIS MEJORES AÃOS",90,"HOMBRE","Montuvio(a)"
