Período;Mes;año;Zona;Provincia;Cantón;Oeps / Ueps;Sector Productivo;Tipo de Acompañamiento;Servicio DPC;Detalle del Servicio;No. Beneficiarios
1. Trimestre;Febrero;2021;1;IMBABURA;ANTONIO ANTE;OEPS  ;Textil;Capital de Trabajo;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;14
2. Trimestre;Mayo;2021;5;SANTA ELENA;SALINAS;UEP;Otros;Capital de Trabajo;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;1
1. Trimestre;Marzo;2021;DMQ;PICHINCHA;QUITO;OEPS  ;Servicio Limpieza;Certificaciones de Calidad;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;44
2. Trimestre;Junio;2021;7;EL ORO;HUAQUILLAS;OEPS  ;Servicio Catering;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;29
1. Trimestre;Febrero;2021;3;COTOPAXI;LATACUNGA;OEPS  ;Servicio Limpieza;Elaboración Reglamento Interno;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;26
3. Trimestre;Septiembre;2021;2;ORELLANA;ORELLANA;OEPS;No priorizado en el cambio de la matriz productiva;Certificaciones INEN;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;1
2. Trimestre;Junio;2021;6;AZUAY;SEVILLA DE ORO;OEPS  ;Construcción;Capital de Trabajo;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;27
2. Trimestre;Junio;2021;6;AZUAY;PONCE ENRIQUEZ;OEPS  ;Servicio Catering;Capital de Trabajo;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;14
3. Trimestre;Agosto;2021;8;DM GUAYAQUIL;GUAYAQUIL;OEPS;Servicios;Capacitación Educación Financiera;Asistencia Técnica Operativa;Asesoría personalizada al beneficiario para mejoras en aspectos técnicos ;10
2. Trimestre;Junio;2021;7;LOJA;LOJA;OEPS  ;Servicio Limpieza;Activos Fijos;Articulación Financiamiento;Acompañamiento al beneficiario para el acceso a fuentes de financiamiento;33
1. Trimestre;Marzo;2021;8;GUAYAS;GUAYAQUIL;OEPS  ;Servicio Limpieza;Capacitación Asesoría Tributaria;Asistencia Técnica Administrativa;Asesoría personalizada al beneficiario para mejoras en aspectos administrativos ;15
