"Período","Mes","año","Zona","Provincia","Cantón","Oeps / Ueps","Sector Productivo","Tipo de Acompañamiento","Servicio DPC","Detalle del Servicio","No. Beneficiarios","RowID","Periodo","Mes (Right)","Provincia (Right)","Sector_Productivo","Servicio_DPC","No_Beneficiarios","$oid"
"1. Trimestre","Enero",2021,"1","IMBABURA","IBARRA","OEPS","Servicio Limpieza","Obtención Producto / Servicio","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",11,"Row0","1. Trimestre","Junio","IMBABURA","Servicios","Obtención Producto",22,"6a5e8e8d453c93e2f720676f"
"1. Trimestre","Enero",2021,"1","IMBABURA","IBARRA","OEPS","Textil","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",15,"Row1","4. Trimestre","Febrero","IMBABURA","Agropecuario","Servicio Limpieza",56,"6a5e8e8d453c93e2f7206770"
"1. Trimestre","Enero",2021,"1","IMBABURA","IBARRA","OEPS","Agroalimentario","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",22,"Row2","4. Trimestre","Marzo","IMBABURA","Agropecuario","Asistencia Técnica",94,"6a5e8e8d453c93e2f7206771"
"1. Trimestre","Enero",2021,"2","ORELLANA","ORELLANA","OEPS","Textil","Obtención Producto / Servicio","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",27,"Row3","2. Trimestre","Mayo","AZUAY","Comercio","Obtención Producto",74,"6a5e8e8d453c93e2f7206772"
"1. Trimestre","Enero",2021,"3","CHIMBORAZO","GUANO","OEPS","Agroalimentario","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",13,"Row4","2. Trimestre","Marzo","AZUAY","Textil","Servicio Limpieza",13,"6a5e8e8d453c93e2f7206773"
"1. Trimestre","Enero",2021,"3","COTOPAXI","LATACUNGA","OEPS","Servicio Catering","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",2,"Row5","3. Trimestre","Abril","IMBABURA","Agropecuario","Servicio Limpieza",56,"6a5e8e8d453c93e2f7206774"
"1. Trimestre","Enero",2021,"3","CHIMBORAZO","RIOBAMBA","OEPS","Textil","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",14,"Row6","2. Trimestre","Mayo","AZUAY","Comercio","Asistencia Técnica",100,"6a5e8e8d453c93e2f7206775"
"1. Trimestre","Enero",2021,"4","SANTO DOMINGO DE LOS TSACHILAS","SANTO DOMINGO","OEPS","Agroalimentario","Obtención Producto / Servicio","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",29,"Row7","4. Trimestre","Febrero","IMBABURA","Agropecuario","Asistencia Técnica",18,"6a5e8e8d453c93e2f7206776"
"1. Trimestre","Enero",2021,"4","MANABI","SUCRE","OEPS","Agroalimentario","Obtención Producto / Servicio","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",16,"Row8","1. Trimestre","Mayo","PICHINCHA","Servicios","Obtención Producto",18,"6a5e8e8d453c93e2f7206777"
"1. Trimestre","Enero",2021,"4","MANABI","JAMA","OEPS","Textil","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",23,"Row9","2. Trimestre","Febrero","LOJA","Servicios","Asistencia Técnica",64,"6a5e8e8d453c93e2f7206778"
"1. Trimestre","Enero",2021,"5","LOS RIOS","VINCES","OEPS","Agroalimentario","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",19,"Row10","3. Trimestre","Marzo","GUAYAS","Servicios","Obtención Producto",50,"6a5e8e8d453c93e2f7206779"
"1. Trimestre","Enero",2021,"5","SANTA ELENA","SANTA ELENA","OEPS","Agropecuario","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",11,"Row11","3. Trimestre","Marzo","GUAYAS","Servicios","Mejora Flujo Proceso",83,"6a5e8e8d453c93e2f720677a"
"1. Trimestre","Enero",2021,"5","SANTA ELENA","LA LIBERTAD","OEPS","Agropecuario","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",9,"Row12","1. Trimestre","Enero","LOJA","Comercio","Servicio Limpieza",13,"6a5e8e8d453c93e2f720677b"
"1. Trimestre","Enero",2021,"6","AZUAY","CUENCA","OEPS","Textil","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",10,"Row13","2. Trimestre","Abril","AZUAY","Textil","Asistencia Técnica",53,"6a5e8e8d453c93e2f720677c"
"1. Trimestre","Enero",2021,"6","CAÑAR","LA TRONCAL","OEPS","Servicio Catering","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",34,"Row14","1. Trimestre","Abril","GUAYAS","Agropecuario","Obtención Producto",90,"6a5e8e8d453c93e2f720677d"
"1. Trimestre","Enero",2021,"7","LOJA","SARAGURO","OEPS","Textil","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",15,"Row15","2. Trimestre","Enero","IMBABURA","Textil","Asistencia Técnica",78,"6a5e8e8d453c93e2f720677e"
"1. Trimestre","Enero",2021,"7","ZAMORA CHINCHIPE","EL PANGUI","OEPS","Servicio Limpieza","Obtención Producto / Servicio","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",15,"Row16","4. Trimestre","Mayo","AZUAY","Agropecuario","Mejora Flujo Proceso",70,"6a5e8e8d453c93e2f720677f"
"1. Trimestre","Enero",2021,"7","ZAMORA CHINCHIPE","ZAMORA","OEPS","Textil","Obtención Producto / Servicio","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",10,"Row17","2. Trimestre","Abril","AZUAY","Comercio","Servicio Limpieza",33,"6a5e8e8d453c93e2f7206780"
"1. Trimestre","Enero",2021,"7","LOJA","LOJA","OEPS","Textil","Certificaciones INEN","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",15,"Row18","1. Trimestre","Abril","GUAYAS","Comercio","Servicio Limpieza",45,"6a5e8e8d453c93e2f7206781"
"1. Trimestre","Enero",2021,"7","LOJA","GONZANAMA","OEPS","Agropecuario","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",18,"Row19","2. Trimestre","Marzo","GUAYAS","Textil","Servicio Limpieza",25,"6a5e8e8d453c93e2f7206782"
"1. Trimestre","Enero",2021,"8","GUAYAS","GUAYAQUIL","OEPS","Otros","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",20,"Row20","1. Trimestre","Abril","LOJA","Servicios","Mejora Flujo Proceso",32,"6a5e8e8d453c93e2f7206783"
"1. Trimestre","Enero",2021,"8","GUAYAS","GUAYAQUIL","OEPS","Servicio Limpieza","Mejora Flujo Proceso Productivo","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",15,"Row21","4. Trimestre","Enero","PICHINCHA","Textil","Obtención Producto",71,"6a5e8e8d453c93e2f7206784"
"1. Trimestre","Enero",2021,"DMQ","PICHINCHA","CAYAMBE","OEPS","Agropecuario","Certificaciones de Calidad","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",12,"Row22","1. Trimestre","Enero","IMBABURA","Comercio","Asistencia Técnica",41,"6a5e8e8d453c93e2f7206785"
"1. Trimestre","Enero",2021,"DMQ","PICHINCHA","QUITO","OEPS","Agropecuario","Certificaciones de Calidad","Asistencia Técnica Operativa","Asesoría personalizada al beneficiario para mejoras en aspectos técnicos",10,"Row23","1. Trimestre","Marzo","GUAYAS","Textil","Obtención Producto",54,"6a5e8e8d453c93e2f7206786"
"1. Trimestre","Febrero",2021,"1","IMBABURA","ANTONIO ANTE","OEPS","Textil","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",10,"Row24","1. Trimestre","Junio","GUAYAS","Comercio","Asistencia Técnica",41,"6a5e8e8d453c93e2f7206787"
"1. Trimestre","Febrero",2021,"1","IMBABURA","ANTONIO ANTE","OEPS","Textil","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",14,"Row25","4. Trimestre","Enero","IMBABURA","Textil","Mejora Flujo Proceso",48,"6a5e8e8d453c93e2f7206788"
"1. Trimestre","Enero",2021,"2","ORELLANA","ORELLANA","OEPS","Turismo","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",10,"Row26","4. Trimestre","Abril","AZUAY","Agropecuario","Servicio Limpieza",58,"6a5e8e8d453c93e2f7206789"
"1. Trimestre","Enero",2021,"3","TUNGURAHUA","PATATE","UEP","Otros","Asesoría Planes de Negocios","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",1,"Row27","1. Trimestre","Febrero","AZUAY","Servicios","Asistencia Técnica",82,"6a5e8e8d453c93e2f720678a"
"1. Trimestre","Febrero",2021,"3","COTOPAXI","PUJILI","OEPS","Servicio Catering","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",6,"Row28","4. Trimestre","Marzo","PICHINCHA","Agropecuario","Asistencia Técnica",90,"6a5e8e8d453c93e2f720678b"
"1. Trimestre","Febrero",2021,"3","CHIMBORAZO","GUAMOTE","UEP","Agroalimentario","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",1,"Row29","2. Trimestre","Marzo","GUAYAS","Textil","Mejora Flujo Proceso",15,"6a5e8e8d453c93e2f720678c"
"1. Trimestre","Febrero",2021,"4","SANTO DOMINGO DE LOS TSACHILAS","SANTO DOMINGO","OEPS","Servicio Catering","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",10,"Row30","4. Trimestre","Junio","AZUAY","Servicios","Obtención Producto",81,"6a5e8e8d453c93e2f720678d"
"1. Trimestre","Febrero",2021,"4","SANTO DOMINGO DE LOS TSACHILAS","SANTO DOMINGO","OEPS","Textil","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",27,"Row31","2. Trimestre","Mayo","GUAYAS","Servicios","Obtención Producto",12,"6a5e8e8d453c93e2f720678e"
"1. Trimestre","Enero",2021,"5","LOS RIOS","BABAHOYO","OEPS","Agroalimentario","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",16,"Row32","3. Trimestre","Febrero","PICHINCHA","Textil","Mejora Flujo Proceso",96,"6a5e8e8d453c93e2f720678f"
"1. Trimestre","Febrero",2021,"5","SANTA ELENA","LA LIBERTAD","OEPS","Textil","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",12,"Row33","3. Trimestre","Enero","AZUAY","Textil","Mejora Flujo Proceso",30,"6a5e8e8d453c93e2f7206790"
"1. Trimestre","Enero",2021,"6","AZUAY","GUALACEO","OEPS","Servicio Catering","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",27,"Row34","2. Trimestre","Marzo","LOJA","Textil","Servicio Limpieza",71,"6a5e8e8d453c93e2f7206791"
"1. Trimestre","Enero",2021,"6","AZUAY","PUCARA","OEPS","Servicio Limpieza","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",23,"Row35","3. Trimestre","Enero","IMBABURA","Servicios","Asistencia Técnica",44,"6a5e8e8d453c93e2f7206792"
"1. Trimestre","Febrero",2021,"6","CAÑAR","AZOGUES","OEPS","Servicio Limpieza","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",13,"Row36","2. Trimestre","Enero","IMBABURA","Servicios","Obtención Producto",63,"6a5e8e8d453c93e2f7206793"
"1. Trimestre","Enero",2021,"7","LOJA","LOJA","OEPS","Textil","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",13,"Row37","4. Trimestre","Abril","PICHINCHA","Comercio","Obtención Producto",41,"6a5e8e8d453c93e2f7206794"
"1. Trimestre","Febrero",2021,"7","LOJA","LOJA","OEPS","Textil","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",30,"Row38","4. Trimestre","Abril","IMBABURA","Servicios","Obtención Producto",18,"6a5e8e8d453c93e2f7206795"
"1. Trimestre","Febrero",2021,"7","ZAMORA CHINCHIPE","YANTZAZA","UEP","Agroalimentario","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",1,"Row39","3. Trimestre","Mayo","PICHINCHA","Agropecuario","Servicio Limpieza",77,"6a5e8e8d453c93e2f7206796"
"1. Trimestre","Febrero",2021,"7","ZAMORA CHINCHIPE","YANTZAZA","UEP","Textil","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",1,"Row40","1. Trimestre","Marzo","GUAYAS","Agropecuario","Asistencia Técnica",30,"6a5e8e8d453c93e2f7206797"
"1. Trimestre","Enero",2021,"8","GUAYAS","GUAYAQUIL","UEP","Textil","Activos Fijos","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",1,"Row41","1. Trimestre","Enero","GUAYAS","Comercio","Mejora Flujo Proceso",71,"6a5e8e8d453c93e2f7206798"
"1. Trimestre","Febrero",2021,"8","GUAYAS","GUAYAQUIL","UEP","Agroalimentario","Activos Fijos","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",1,"Row42","2. Trimestre","Abril","PICHINCHA","Textil","Servicio Limpieza",20,"6a5e8e8d453c93e2f7206799"
"1. Trimestre","Enero",2021,"DMQ","PICHINCHA","QUITO","OEPS","Agroalimentario","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",10,"Row43","4. Trimestre","Mayo","IMBABURA","Textil","Obtención Producto",12,"6a5e8e8d453c93e2f720679a"
"1. Trimestre","Febrero",2021,"DMQ","PICHINCHA","QUITO","OEPS","Textil","Capital de Trabajo","Articulación Financiamiento","Acompañamiento al beneficiario para el acceso a fuentes de financiamiento",11,"Row44","1. Trimestre","Enero","IMBABURA","Comercio","Asistencia Técnica",26,"6a5e8e8d453c93e2f720679b"
"1. Trimestre","Febrero",2021,"1","IMBABURA","ANTONIO ANTE","OEPS","Textil","Evaluación Herramienta Ex-Post","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",13,"Row45","4. Trimestre","Junio","PICHINCHA","Comercio","Servicio Limpieza",41,"6a5e8e8d453c93e2f720679c"
"1. Trimestre","Febrero",2021,"2","ORELLANA","ORELLANA","OEPS","Agropecuario","Evaluación Herramienta Ex-Post","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",80,"Row46","2. Trimestre","Abril","IMBABURA","Agropecuario","Servicio Limpieza",20,"6a5e8e8d453c93e2f720679d"
"1. Trimestre","Febrero",2021,"3","CHIMBORAZO","RIOBAMBA","OEPS","Agroalimentario","Evaluación Herramienta Ex-Post","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",25,"Row47","2. Trimestre","Junio","AZUAY","Comercio","Asistencia Técnica",99,"6a5e8e8d453c93e2f720679e"
"1. Trimestre","Febrero",2021,"4","MANABI","JAMA","OEPS","Agropecuario","Evaluación Herramienta Ex-Post","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",28,"Row48","4. Trimestre","Enero","PICHINCHA","Servicios","Servicio Limpieza",63,"6a5e8e8d453c93e2f720679f"
"1. Trimestre","Febrero",2021,"5","SANTA ELENA","LA LIBERTAD","OEPS","Agroindustrial","Evaluación Herramienta Ex-Post","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",10,"Row49","2. Trimestre","Enero","GUAYAS","Comercio","Obtención Producto",52,"6a5e8e8d453c93e2f72067a0"
"1. Trimestre","Febrero",2021,"6","CAÑAR","AZOGUES","OEPS","Otros","Evaluación Herramienta Ex-Post","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",12,"Row50","4. Trimestre","Mayo","AZUAY","Agropecuario","Obtención Producto",76,"6a5e8e8d453c93e2f72067a1"
"1. Trimestre","Febrero",2021,"7","LOJA","GONZANAMA","OEPS","Artesanal","Evaluación Herramienta Ex-Post","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",27,"Row51","4. Trimestre","Mayo","IMBABURA","Agropecuario","Asistencia Técnica",68,"6a5e8e8d453c93e2f72067a2"
"1. Trimestre","Febrero",2021,"8","GUAYAS","GUAYAQUIL","OEPS","Otros","Evaluación Herramienta Ex-Post","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",12,"Row52","3. Trimestre","Junio","LOJA","Agropecuario","Mejora Flujo Proceso",85,"6a5e8e8d453c93e2f72067a3"
"1. Trimestre","Febrero",2021,"DMQ","PICHINCHA","QUITO","OEPS","Otros","Evaluación Herramienta Ex-Post","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",5,"Row53","2. Trimestre","Enero","AZUAY","Agropecuario","Asistencia Técnica",43,"6a5e8e8d453c93e2f72067a4"
"1. Trimestre","Febrero",2021,"1","IMBABURA","ANTONIO ANTE","OEPS","Textil","FODA / Plan Estratégico","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",10,"Row54","3. Trimestre","Mayo","GUAYAS","Comercio","Obtención Producto",76,"6a5e8e8d453c93e2f72067a5"
"1. Trimestre","Marzo",2021,"1","IMBABURA","IBARRA","OEPS","Servicio Mantenimiento","FODA / Plan Estratégico","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",22,"Row55","3. Trimestre","Enero","IMBABURA","Agropecuario","Servicio Limpieza",22,"6a5e8e8d453c93e2f72067a6"
"1. Trimestre","Marzo",2021,"2","ORELLANA","ORELLANA","OEPS","Textil","Asesoramiento Certificación INEN","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",27,"Row56","2. Trimestre","Mayo","GUAYAS","Textil","Mejora Flujo Proceso",43,"6a5e8e8d453c93e2f72067a7"
"1. Trimestre","Febrero",2021,"3","COTOPAXI","LATACUNGA","OEPS","Servicio Limpieza","Elaboración Reglamento Interno","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",26,"Row57","4. Trimestre","Febrero","PICHINCHA","Textil","Servicio Limpieza",69,"6a5e8e8d453c93e2f72067a8"
"1. Trimestre","Marzo",2021,"3","TUNGURAHUA","AMBATO","OEPS","Agropecuario","Elaboración Reglamento Interno","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",10,"Row58","2. Trimestre","Abril","AZUAY","Comercio","Mejora Flujo Proceso",54,"6a5e8e8d453c93e2f72067a9"
"1. Trimestre","Marzo",2021,"4","MANABI","SUCRE","OEPS","Agroalimentario","FODA / Plan Estratégico","Asistencia Técnica Administrativa","Asesoría personalizada al beneficiario para mejoras en aspectos administrativos",16,"Row59","3. Trimestre","Abril","AZUAY","Textil","Obtención Producto",47,"6a5e8e8d453c93e2f72067aa"
