SEXO;RANGO ETARIO;SEGURO GENERAL OBLIGATORIO;;;;Regimen ESPECIAL VOLUNTARIO;;TOTAL
;De 71 a 80 anos;865;3.525;2.628;66;3.652;133;10.869
;De 31 a 40 anos;95.119;391.385;31.706;125;12.000;1.937;532.272
;De 41 a 50 anos;100.529;169.258;32.011;70.294;21.332;3.355;396.779
;De 91 anos en adelante;1;171;77;10;458;2;719
"Nota Tecnica 5: Conforme se determina en el articulo 73 de la Ley de Seguridad Social, el empleador es responsable de registrar en el Sistema de Historia Laboral todas las novedades que afecten al trabajador en los plazos establecidos; por lo que la informacion que reposa en historia laboral es la declarada por el empleador.;;;;;;;;"
;De 51 a 60 anos;132.670;243.881;86.851;37.031;66.481;9.224;576.138
;De 61 a 70 anos;13.001;33.783;19.975;22.082;34.793;3.516;127.150
;De 61 a 70 anos;31.590;74.891;48.261;22.479;56.581;6.209;240.011
;De 41 a 50 anos;188.907;438.247;75.507;70.461;35.802;5.907;814.831
;De 61 a 70 anos;18.589;41.108;28.286;397;21.788;2.693;112.861
