ID_Persona;Ciudad;Edad;Nivel_Educativo;Estado_Laboral;Ingreso_Mensual;Sector_Economico;Meses_Desempleado
1;Guayaquil;39;Secundaria;Subempleado;399.85;Construccion;0
2;Cuenca;22;Universitario;Subempleado;239.55;Agricultura;0
3;Ambato;29;Primaria;Desempleado;0.0;Ninguno;34
4;Quito;32;Primaria;Subempleado;260.73;Comercio;0
5;Guayaquil;54;Primaria;Empleado;1235.87;Manufactura;0
6;Guayaquil;40;Secundaria;Empleado;2286.48;Comercio;0
7;Manta;57;Primaria;Desempleado;0.0;Ninguno;10
8;Quito;23;Tecnologico;Empleado;746.83;Agricultura;0
9;Manta;64;Primaria;Desempleado;0.0;Ninguno;22
10;Quito;34;Primaria;Subempleado;353.43;Manufactura;0
11;Ambato;26;Secundaria;Desempleado;0.0;Ninguno;3
12;Guayaquil;38;Primaria;Subempleado;315.39;Construccion;0
13;Manta;35;Universitario;Desempleado;0.0;Ninguno;13
14;Quito;19;Tecnologico;Desempleado;0.0;Ninguno;22
15;Guayaquil;22;Primaria;Subempleado;166.79;Construccion;0
16;Ambato;29;Primaria;Desempleado;0.0;Ninguno;2
17;Manta;19;Secundaria;Desempleado;0.0;Ninguno;26
18;Ambato;23;Universitario;Empleado;938.17;Tecnologia;0
19;Quito;34;Universitario;Desempleado;0.0;Ninguno;16
20;Manta;51;Tecnologico;Desempleado;0.0;Ninguno;17
21;Manta;49;Tecnologico;Desempleado;0.0;Ninguno;17
22;Cuenca;41;Tecnologico;Subempleado;161.28;Agricultura;0
23;Cuenca;48;Secundaria;Desempleado;0.0;Ninguno;36
24;Cuenca;47;Tecnologico;Desempleado;0.0;Ninguno;22
25;Guayaquil;54;Universitario;Subempleado;344.82;Tecnologia;0
26;Cuenca;57;Tecnologico;Subempleado;359.09;Construccion;0
27;Guayaquil;40;Secundaria;Empleado;1783.49;Construccion;0
28;Cuenca;26;Tecnologico;Subempleado;334.54;Construccion;0
29;Guayaquil;33;Primaria;Empleado;1477.94;Tecnologia;0
30;Ambato;35;Universitario;Desempleado;0.0;Ninguno;25
31;Ambato;52;Primaria;Desempleado;0.0;Ninguno;20
32;Guayaquil;49;Tecnologico;Desempleado;0.0;Ninguno;22
33;Quito;39;Primaria;Desempleado;0.0;Ninguno;13
34;Ambato;39;Tecnologico;Empleado;2098.33;Manufactura;0
35;Cuenca;21;Universitario;Desempleado;0.0;Ninguno;22
36;Ambato;36;Primaria;Subempleado;413.83;Comercio;0
37;Manta;46;Secundaria;Desempleado;0.0;Ninguno;30
38;Guayaquil;62;Tecnologico;Empleado;1006.26;Manufactura;0
39;Quito;31;Primaria;Desempleado;0.0;Ninguno;15
40;Ambato;44;Tecnologico;Desempleado;0.0;Ninguno;19
41;Ambato;30;Primaria;Desempleado;0.0;Ninguno;8
42;Ambato;31;Universitario;Subempleado;337.04;Manufactura;0
43;Guayaquil;59;Secundaria;Subempleado;273.14;Tecnologia;0
44;Quito;33;Secundaria;Subempleado;250.56;Manufactura;0
45;Quito;36;Tecnologico;Subempleado;188.88;Agricultura;0
46;Manta;33;Primaria;Empleado;2436.43;Comercio;0
47;Guayaquil;48;Primaria;Desempleado;0.0;Ninguno;11
48;Guayaquil;56;Universitario;Subempleado;106.51;Construccion;0
49;Guayaquil;36;Universitario;Desempleado;0.0;Ninguno;22
50;Ambato;33;Primaria;Desempleado;0.0;Ninguno;2
51;Manta;18;Tecnologico;Subempleado;409.4;Servicios;0
52;Manta;33;Universitario;Desempleado;0.0;Ninguno;33
53;Ambato;50;Universitario;Empleado;1850.14;Tecnologia;0
54;Guayaquil;61;Secundaria;Subempleado;119.61;Comercio;0
55;Cuenca;42;Primaria;Subempleado;344.5;Servicios;0
56;Guayaquil;22;Primaria;Desempleado;0.0;Ninguno;27
57;Ambato;56;Universitario;Desempleado;0.0;Ninguno;15
58;Cuenca;18;Secundaria;Desempleado;0.0;Ninguno;28
